"USAF","WBAN","STATION NAME","CTRY","STATE","ICAO","LAT","LON","ELEV(M)","BEGIN","END"
"999999","24219","THE DALLES MUNICIPAL ARPT","US","WA","KDLS","+45.619","-121.166","+0064.0","19480101","19650101"
"999999","24220","ELLENSBURG BOWERS FI","US","WA","KELN","+47.034","-120.530","+0538.0","19480601","19550101"
"999999","24221","EUGENE MAHLON SWEET ARPT","US","OR","KEUG","+44.128","-123.221","+0113.7","19480101","19721231"
"999999","24223","KELSO WB AP","US","WA","KKLS","+46.117","-122.894","+0006.1","19480101","19530831"
"999999","24224","KLAMATH FALLS KINGSLEY FIELD","US","OR","","+42.167","-121.733","+1244.8","19480101","19590901"
"999999","24225","MEDFORD JACKSON COUNTY ARPT","US","OR","KMFR","+42.381","-122.872","+0405.1","19480101","19721231"
"999999","24226","NORTH HEAD","US","WA","","+46.300","-124.083","+0064.0","19480101","19490101"
"999999","24227","OLYMPIA MUNICIPAL ARPT","US","WA","KOLM","+46.973","-122.903","+0061.0","19480101","19721231"
"999999","24228","PORT ANGELES WB AP","US","WA","NOW","+48.133","-123.400","+0006.1","19490101","19530201"
"999999","24229","PORTLAND","US","OR","KPDX","+45.596","-122.609","+0032.6","19650101","19721231"
"999999","24230","REDMOND ROBERTS FIELD","US","OR","KRDM","+44.256","-121.139","+0940.0","19480101","19721231"
"999999","24231","ROSEBURG MUNICIPAL AP","US","OR","KRBG","+43.239","-123.355","+0155.1","19480101","19650101"
"999999","24232","SALEM MCNARY FIELD","US","OR","KSLE","+44.905","-123.001","+0061.3","19480101","19721231"
"999999","24233","SEATTLE SEATTLE-TACOMA ARPT","US","WA","KSEA","+47.444","-122.314","+0132.3","19700101","19721231"
"999999","24234","SEATTLE BOEING FIELD","US","WA","KBFI","+47.530","-122.301","+0009.1","19650101","19721231"
